start_time,open,high,low,close
2025-08-22T12:04:00,93.0,96.0,93.0,95.65
2025-08-22T12:05:00,94.95,96.0,91.6,92.2
2025-08-22T12:06:00,92.3,92.85,90.0,90.8
2025-08-22T12:07:00,90.95,91.6,87.35,88.65
2025-08-22T12:08:00,88.55,90.3,87.8,89.7
2025-08-22T12:09:00,89.8,91.75,89.8,91.45
2025-08-22T12:10:00,91.9,93.0,90.1,90.9
2025-08-22T12:11:00,91.1,91.1,86.25,86.85
2025-08-22T12:12:00,85.95,86.95,84.45,85.3
2025-08-22T12:13:00,85.1,86.3,84.5,85.8
2025-08-22T12:14:00,85.8,86.45,84.75,85.35
2025-08-22T12:15:00,85.45,85.85,84.5,85.65
2025-08-22T12:16:00,85.55,88.0,85.25,86.7
2025-08-22T12:17:00,86.75,86.75,85.2,85.2
2025-08-22T12:18:00,85.25,85.6,83.4,84.25
2025-08-22T12:19:00,84.15,84.15,82.95,83.55
2025-08-22T12:20:00,83.3,84.6,82.55,84.45
2025-08-22T12:21:00,84.25,85.4,83.9,84.45
2025-08-22T12:22:00,84.45,85.0,83.65,84.4
2025-08-22T12:23:00,84.2,84.75,83.05,83.2
2025-08-22T12:24:00,83.0,83.15,81.35,82.25
2025-08-22T12:25:00,82.2,82.2,80.85,81.4
2025-08-22T12:26:00,82.0,83.6,81.7,83.25
2025-08-22T12:27:00,83.05,84.7,82.7,84.7
2025-08-22T12:28:00,84.1,84.75,83.7,84.75
2025-08-22T12:29:00,84.55,86.35,84.55,85.3
2025-08-22T12:30:00,85.1,85.75,83.2,85.2
2025-08-22T12:31:00,85.5,86.7,85.0,85.4
2025-08-22T12:32:00,85.05,85.05,83.2,84.3
2025-08-22T12:33:00,84.5,86.55,84.05,86.2
2025-08-22T12:34:00,86.3,87.5,86.3,86.95
2025-08-22T12:35:00,86.55,86.55,85.6,86.4
2025-08-22T12:36:00,86.75,87.2,85.3,85.7
2025-08-22T12:37:00,85.8,85.95,84.55,84.9
2025-08-22T12:38:00,84.65,84.65,82.25,83.35
2025-08-22T12:39:00,83.0,83.05,82.0,82.4
2025-08-22T12:40:00,82.2,82.3,80.0,80.3
2025-08-22T12:41:00,80.25,81.75,80.25,81.75
2025-08-22T12:42:00,81.75,81.85,80.7,80.9
2025-08-22T12:43:00,80.95,83.4,80.85,83.2
2025-08-22T12:44:00,83.35,84.5,83.25,84.5
2025-08-22T12:45:00,84.5,84.5,82.0,82.9
2025-08-22T12:46:00,82.55,84.75,82.3,84.6
2025-08-22T12:47:00,84.1,84.5,83.2,84.05
2025-08-22T12:48:00,84.2,84.35,83.5,84.35
2025-08-22T12:49:00,84.1,84.4,82.65,83.15
2025-08-22T12:50:00,83.05,84.7,82.9,84.1
2025-08-22T12:51:00,84.0,85.35,83.4,83.95
2025-08-22T12:52:00,83.9,85.5,83.2,85.2
2025-08-22T12:53:00,84.95,85.3,83.55,84.3
2025-08-22T12:54:00,84.75,85.15,83.25,83.55
2025-08-22T12:55:00,84.0,85.2,83.85,84.85
2025-08-22T12:56:00,85.2,85.3,82.75,83.95
2025-08-22T12:57:00,83.65,83.75,81.6,82.0
2025-08-22T12:58:00,81.9,82.7,81.05,81.7
2025-08-22T12:59:00,81.7,82.5,81.5,81.5
2025-08-22T13:00:00,81.3,82.0,80.85,81.9
2025-08-22T13:01:00,81.8,83.2,81.8,82.3
2025-08-22T13:02:00,83.0,84.0,81.85,82.2
2025-08-22T13:03:00,82.0,82.8,81.3,81.35
2025-08-22T13:04:00,81.5,84.15,80.8,84.15
2025-08-22T13:05:00,83.65,83.65,80.5,81.4
2025-08-22T13:06:00,81.2,82.35,80.75,81.15
2025-08-22T13:07:00,81.1,81.75,80.3,81.2
2025-08-22T13:08:00,81.75,82.65,81.5,81.95
2025-08-22T13:09:00,81.9,82.15,81.7,82.1
2025-08-22T13:10:00,81.9,83.1,81.2,83.0
2025-08-22T13:11:00,83.05,84.0,83.05,84.0
2025-08-22T13:12:00,83.7,84.3,81.0,81.0
2025-08-22T13:13:00,81.3,82.45,81.1,81.95
2025-08-22T13:14:00,81.95,83.65,81.35,82.55
2025-08-22T13:15:00,82.55,83.9,82.55,83.45
2025-08-22T13:16:00,83.4,83.9,81.8,82.0
2025-08-22T13:17:00,82.3,83.3,82.15,83.0
2025-08-22T13:18:00,82.95,83.65,82.95,83.2
2025-08-22T13:19:00,83.1,83.8,83.05,83.6
2025-08-22T13:20:00,83.4,84.45,83.3,83.7
2025-08-22T13:21:00,83.5,84.4,83.4,84.05
2025-08-22T13:22:00,84.2,85.85,83.95,85.6
2025-08-22T13:23:00,85.5,87.75,85.5,87.35
2025-08-22T13:24:00,87.35,89.0,86.7,89.0
2025-08-22T13:25:00,88.85,89.6,88.05,88.45
2025-08-22T13:26:00,87.95,91.4,87.95,90.6
2025-08-22T13:27:00,90.95,91.4,90.0,90.45
2025-08-22T13:28:00,90.3,91.05,88.2,89.0
2025-08-22T13:29:00,88.9,88.9,87.05,87.65
2025-08-22T13:30:00,87.7,89.65,87.7,88.55
2025-08-22T13:31:00,89.05,89.1,86.4,87.35
2025-08-22T13:32:00,87.5,89.55,87.3,87.6
2025-08-22T13:33:00,87.4,89.0,87.1,89.0
2025-08-22T13:34:00,89.0,90.85,89.0,90.85
2025-08-22T13:35:00,91.3,93.0,90.8,92.6
2025-08-22T13:36:00,92.75,93.85,91.65,93.7
2025-08-22T13:37:00,93.75,95.9,93.5,94.95
2025-08-22T13:38:00,94.95,94.95,93.05,93.35
2025-08-22T13:39:00,93.5,94.0,91.5,91.8
2025-08-22T13:40:00,91.8,94.15,90.3,93.65
2025-08-22T13:41:00,93.8,94.15,93.4,93.85
2025-08-22T13:42:00,94.0,94.0,90.9,91.75
2025-08-22T13:43:00,91.6,92.4,91.2,92.25
2025-08-22T13:44:00,92.05,92.05,89.9,91.0
2025-08-22T13:45:00,91.0,92.0,90.4,90.6
2025-08-22T13:46:00,90.7,90.9,87.35,87.4
2025-08-22T13:47:00,87.95,89.05,87.95,88.8
2025-08-22T13:48:00,89.15,90.45,88.6,90.2
2025-08-22T13:49:00,90.1,90.5,88.7,89.55
2025-08-22T13:50:00,89.75,90.5,89.75,90.4
2025-08-22T13:51:00,90.4,90.65,88.6,88.95
2025-08-22T13:52:00,89.1,89.65,88.1,88.95
2025-08-22T13:53:00,89.4,89.4,87.7,88.6
2025-08-22T13:54:00,88.7,89.8,88.5,89.8
2025-08-22T13:55:00,89.65,91.4,89.35,89.7
2025-08-22T13:56:00,89.7,90.05,86.35,87.95
2025-08-22T13:57:00,87.4,88.6,86.5,87.05
2025-08-22T13:58:00,87.05,87.8,86.05,87.25
2025-08-22T13:59:00,87.2,87.2,84.7,84.8
2025-08-22T14:00:00,85.45,85.75,83.3,85.5
2025-08-22T14:01:00,85.6,86.05,83.5,83.9
2025-08-22T14:02:00,83.7,84.7,82.0,82.4
2025-08-22T14:03:00,82.7,83.15,81.8,82.4
2025-08-22T14:04:00,82.5,82.7,81.15,81.7
2025-08-22T14:05:00,81.7,83.1,81.4,82.9
2025-08-22T14:06:00,82.2,83.5,81.95,82.95
2025-08-22T14:07:00,82.9,84.15,82.6,83.9
2025-08-22T14:08:00,83.95,85.3,83.4,85.0
2025-08-22T14:09:00,85.05,85.5,84.25,84.7
2025-08-22T14:10:00,84.8,85.5,83.45,84.7
2025-08-22T14:11:00,85.15,86.15,85.0,85.0
2025-08-22T14:12:00,84.5,84.7,82.25,83.3
2025-08-22T14:13:00,83.4,83.45,81.8,82.15
2025-08-22T14:14:00,82.15,82.15,80.7,81.35
2025-08-22T14:15:00,81.25,81.25,78.55,79.7
2025-08-22T14:16:00,79.75,80.1,79.1,79.7
2025-08-22T14:17:00,79.95,80.9,78.65,79.05
2025-08-22T14:18:00,78.95,78.95,74.4,76.7
2025-08-22T14:19:00,76.95,77.7,76.1,77.4
2025-08-22T14:20:00,77.4,78.15,76.65,77.2
2025-08-22T14:21:00,76.55,77.9,76.4,77.15
2025-08-22T14:22:00,77.3,77.6,76.6,76.8
2025-08-22T14:23:00,76.7,76.9,76.2,76.5
2025-08-22T14:24:00,76.25,76.3,73.95,74.05
2025-08-22T14:25:00,72.8,74.2,72.35,73.05
2025-08-22T14:26:00,72.7,74.35,72.6,74.3
2025-08-22T14:27:00,74.5,76.35,74.0,76.35
2025-08-22T14:28:00,76.25,77.85,76.25,76.7
2025-08-22T14:29:00,76.75,77.75,76.55,76.55
2025-08-22T14:30:00,77.1,77.1,75.9,76.35
2025-08-22T14:31:00,76.35,76.35,75.15,76.2
2025-08-22T14:32:00,76.1,76.3,73.7,73.7
2025-08-22T14:33:00,73.7,73.8,68.7,71.05
2025-08-22T14:34:00,71.3,71.35,70.15,71.0
2025-08-22T14:35:00,70.75,71.6,69.6,70.65
2025-08-22T14:36:00,70.4,70.9,69.2,69.2
2025-08-22T14:37:00,69.35,69.4,67.1,69.1
2025-08-22T14:38:00,69.0,69.85,68.5,69.5
2025-08-22T14:39:00,69.55,70.7,69.55,70.3
2025-08-22T14:40:00,70.35,70.75,69.6,70.45
2025-08-22T14:41:00,70.55,72.0,70.55,71.9
2025-08-22T14:42:00,72.05,72.2,70.6,70.85
2025-08-22T14:43:00,71.15,71.15,70.25,70.7
2025-08-22T14:44:00,70.5,71.45,69.25,71.45
2025-08-22T14:45:00,71.5,72.85,71.45,72.2
2025-08-22T14:46:00,72.1,72.1,69.0,71.2
2025-08-22T14:48:00,70.0,70.05,69.85,70.05
2025-08-22T14:49:00,71.2,71.35,70.9,71.05
2025-08-22T14:50:00,71.4,71.7,71.1,71.25
2025-08-22T14:51:00,71.3,71.95,70.5,71.7
2025-08-22T14:52:00,71.7,72.0,71.25,71.5
2025-08-22T14:53:00,71.8,73.55,71.65,73.55
2025-08-22T14:54:00,73.3,74.0,72.2,73.3
2025-08-22T14:55:00,73.3,74.6,73.3,74.35
2025-08-22T14:56:00,74.6,74.9,73.05,74.35
2025-08-22T14:57:00,74.6,74.75,73.5,73.6
2025-08-22T14:58:00,73.8,74.15,73.05,73.25
2025-08-22T14:59:00,73.95,74.7,73.25,73.75
2025-08-22T15:00:00,73.75,73.75,69.35,71.05
2025-08-22T15:01:00,71.1,71.1,69.2,70.65
2025-08-22T15:02:00,70.7,71.5,69.5,69.5
2025-08-22T15:03:00,69.5,70.15,68.75,68.8
2025-08-22T15:04:00,69.2,70.9,68.85,70.9
2025-08-22T15:05:00,70.8,71.5,69.75,69.9
2025-08-22T15:06:00,70.05,70.8,69.6,70.15
2025-08-22T15:07:00,70.05,71.15,69.75,70.5
2025-08-22T15:08:00,70.7,70.75,69.25,69.25
2025-08-22T15:09:00,69.9,70.5,69.55,70.4
2025-08-22T15:10:00,70.95,71.3,70.35,71.2
2025-08-22T15:11:00,71.25,71.25,69.8,70.3
2025-08-22T15:12:00,70.3,70.3,68.25,68.35
