"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-08-13T04:57:00.000Z","19.40","19.65","18.80","19.00","-2.06","-1.95","38,175"
"2025-08-13T04:58:00.000Z","19.00","19.00","18.00","18.10","-4.74","-4.63","39,600"
"2025-08-13T04:59:00.000Z","18.10","18.40","17.80","18.35","1.38","1.49","35,100"
"2025-08-13T05:00:00.000Z","18.35","18.40","18.00","18.00","-1.91","-1.80","4,500"
"2025-08-13T05:01:00.000Z","18.00","18.40","18.00","18.40","2.22","2.33","16,575"
"2025-08-13T05:02:00.000Z","18.55","18.70","18.20","18.25","-0.82","-0.71","2,550"
"2025-08-13T05:03:00.000Z","18.25","18.60","18.20","18.55","1.64","1.75","4,950"
"2025-08-13T05:04:00.000Z","18.45","18.85","18.45","18.65","0.54","0.65","9,450"
"2025-08-13T05:05:00.000Z","18.65","18.70","18.40","18.50","-0.80","-0.69","7,650"
"2025-08-13T05:06:00.000Z","18.60","18.90","18.50","18.50","0","0.11","13,350"
"2025-08-13T05:07:00.000Z","18.50","18.75","18.20","18.75","1.35","1.46","3,300"
"2025-08-13T05:08:00.000Z","18.90","19.35","18.70","19.00","1.33","1.44","33,225"
"2025-08-13T05:09:00.000Z","19.00","19.35","19.00","19.30","1.58","1.69","13,575"
"2025-08-13T05:10:00.000Z","19.35","19.40","18.90","18.90","-2.07","-1.96","5,325"
"2025-08-13T05:11:00.000Z","18.90","19.70","18.90","19.70","4.23","4.34","35,250"
"2025-08-13T05:12:00.000Z","19.70","19.70","19.20","19.30","-2.03","-1.92","3,450"
"2025-08-13T05:13:00.000Z","19.30","19.50","19.15","19.45","0.78","0.89","9,675"
"2025-08-13T05:14:00.000Z","19.45","19.65","19.25","19.40","-0.26","-0.15","15,825"
"2025-08-13T05:15:00.000Z","19.45","20.65","19.45","20.30","4.64","4.75","18,000"
"2025-08-13T05:16:00.000Z","20.15","20.25","19.75","20.00","-1.48","-1.37","15,150"
"2025-08-13T05:17:00.000Z","20.20","20.65","20.05","20.20","1.00","1.11","15,075"
"2025-08-13T05:18:00.000Z","20.35","20.35","19.85","19.85","-1.73","-1.62","7,575"
"2025-08-13T05:19:00.000Z","19.85","20.20","19.50","19.70","-0.76","-0.65","15,975"
"2025-08-13T05:20:00.000Z","19.25","19.60","18.60","19.60","-0.51","-0.40","12,600"
"2025-08-13T05:21:00.000Z","19.50","19.50","18.95","19.10","-2.55","-2.44","9,900"
"2025-08-13T05:22:00.000Z","19.15","19.20","18.15","18.30","-4.19","-4.08","53,250"
"2025-08-13T05:23:00.000Z","18.35","18.40","18.10","18.25","-0.27","-0.16","19,050"
"2025-08-13T05:24:00.000Z","18.30","18.35","18.15","18.25","0","0.11","13,350"
"2025-08-13T05:25:00.000Z","18.25","18.45","18.05","18.05","-1.10","-0.99","33,900"
"2025-08-13T05:26:00.000Z","18.05","18.50","18.00","18.25","1.11","1.22","20,025"
"2025-08-13T05:27:00.000Z","18.40","18.60","18.30","18.40","0.82","0.93","9,075"
"2025-08-13T05:28:00.000Z","18.35","18.50","18.25","18.30","-0.54","-0.43","7,950"
"2025-08-13T05:29:00.000Z","18.15","18.20","17.85","18.00","-1.64","-1.53","17,850"
"2025-08-13T05:30:00.000Z","18.00","18.10","17.65","17.95","-0.28","-0.17","6,450"
"2025-08-13T05:31:00.000Z","17.95","17.95","17.55","17.55","-2.23","-2.12","11,100"
"2025-08-13T05:32:00.000Z","17.55","17.55","17.25","17.40","-0.85","-0.74","24,000"
"2025-08-13T05:33:00.000Z","17.45","17.90","17.45","17.80","2.30","2.41","9,675"
"2025-08-13T05:34:00.000Z","17.80","18.15","17.75","18.00","1.12","1.23","11,250"
"2025-08-13T05:35:00.000Z","17.90","18.05","17.80","17.90","-0.56","-0.45","6,225"
"2025-08-13T05:36:00.000Z","17.90","17.90","17.70","17.75","-0.84","-0.73","7,125"
"2025-08-13T05:37:00.000Z","17.70","17.95","17.65","17.95","1.13","1.24","7,050"
"2025-08-13T05:38:00.000Z","18.00","18.10","17.80","18.00","0.28","0.39","17,925"
"2025-08-13T05:39:00.000Z","18.00","18.00","17.85","17.90","-0.56","-0.45","9,675"
"2025-08-13T05:40:00.000Z","18.00","18.00","17.75","17.80","-0.56","-0.45","10,125"
"2025-08-13T05:41:00.000Z","17.80","18.30","17.80","18.20","2.25","2.36","23,475"
"2025-08-13T05:42:00.000Z","18.35","18.60","18.00","18.20","0","0.11","11,775"
"2025-08-13T05:43:00.000Z","17.90","17.90","17.40","17.40","-4.40","-4.29","6,750"
"2025-08-13T05:44:00.000Z","17.60","17.65","17.35","17.55","0.86","0.97","14,925"
"2025-08-13T05:45:00.000Z","17.55","17.65","17.20","17.40","-0.85","-0.74","10,350"
"2025-08-13T05:46:00.000Z","17.40","17.40","17.00","17.10","-1.72","-1.61","9,525"
"2025-08-13T05:47:00.000Z","17.10","17.35","17.10","17.20","0.58","0.69","2,475"
"2025-08-13T05:48:00.000Z","17.20","17.30","17.10","17.15","-0.29","-0.18","10,950"
"2025-08-13T05:49:00.000Z","17.15","17.20","17.00","17.00","-0.87","-0.76","6,225"
